id	section	emotion	text	note
H020	楽しい	happy	かまどの火って、見てると落ち着くね。	
H021	楽しい	happy	きれいな花畑！ここに家を建てたいな！	
H022	楽しい	happy	一回で成功しちゃった！すごくない？	
H023	楽しい	happy	お誕生日なの？おめでとう！	
H024	楽しい	happy	よーし、この調子でどんどんいこう！	
H025	楽しい	happy	みんな、また遊びに来てね！	
S001	驚き	surprised	えっ、うそ！ここに洞窟があったの？	
S002	驚き	surprised	うわっ、びっくりした！急に出てこないでよ！	
S003	驚き	surprised	ええっ、ツルハシが壊れちゃった！	
S004	驚き	surprised	なにこれ、こんなの初めて見た！	
S005	驚き	surprised	あれ？さっきまでここにあったよね？	
S006	驚き	surprised	えっ、もうこんな時間なの？	
S007	驚き	surprised	すごい、地下にこんなに広い空間が！	
S008	驚き	surprised	ちょっと待って、今の見た？	
S009	驚き	surprised	ええー！そんなやり方があったんだ！	
S010	驚き	surprised	わっ、足元が崩れた！	
S011	驚き	surprised	まさか、これ全部ダイヤモンド？	
S012	驚き	surprised	えっ、赤ちゃんのヒツジが生まれてる！	
S013	驚き	surprised	あっ、クリーパーだ！	
S014	驚き	surprised	うそでしょ、落とし物が溶岩に落ちちゃった！	
S015	驚き	surprised	なんで？ドアがなくなってる！	
S016	驚き	surprised	へえー、そうなんだ！知らなかった！	
S017	驚き	surprised	おおっ、大きな村がある！	
S018	驚き	surprised	えっ、今のコメント本当？	
S019	驚き	surprised	ひゃっ、水に落ちちゃった！	
S020	驚き	surprised	あれっ、道が行き止まりになってる。	
S021	驚き	surprised	ええっ、夜が明けるのってこんなに早いの？	
S022	驚き	surprised	わあっ、空から何か降ってきた！	
S023	驚き	surprised	まって、そっちにも誰かいる？	
S024	驚き	surprised	うわあ、すっごく高い山！	
S025	驚き	surprised	えっ、もう終わり？	
D001	悲しい	sad	ツルハシ、壊れちゃった……。	
D002	悲しい	sad	せっかく集めた丸石、全部なくしちゃった……。	
D003	悲しい	sad	おうちが爆発で壊されちゃった……。	
D004	悲しい	sad	また夜になっちゃった。今日は何も進まなかったな。	
D005	悲しい	sad	ヒツジさん、逃げちゃった……。	
D006	悲しい	sad	ごめんね、約束してたのにできなかった……。	
D007	悲しい	sad	おなかすいたなあ。食べ物がもうないよ。	
D008	悲しい	sad	ここまで来たのに、道がわからなくなっちゃった。	
D009	悲しい	sad	やられちゃった……。持ち物、取りに行かなきゃ。	
D010	悲しい	sad	雨ばっかりで、ちょっと寂しいね。	
D011	悲しい	sad	うまくいくと思ったんだけどな……。	
D012	悲しい	sad	原木、ぜんぜん見つからないよ……。	
D013	悲しい	sad	育ててた小麦、踏んじゃった……。	
D014	悲しい	sad	もうそろそろお別れの時間なんだね。	
D015	悲しい	sad	一人だと、洞窟の中はちょっと心細いな。	
D016	悲しい	sad	せっかく作ったのに、置く場所を間違えちゃった。	
D017	悲しい	sad	ダイヤ、溶岩に落としちゃった……。	
D018	悲しい	sad	今日はなんだか失敗ばっかりだね。	
D019	悲しい	sad	ベッドがなくなってて、朝まで眠れないや。	
D020	悲しい	sad	みんな、心配かけてごめんね。	
D021	悲しい	sad	村の人たち、どこに行っちゃったんだろう。	
D022	悲しい	sad	ドアがどうしても置けないの……。	
D023	悲しい	sad	頑張ったんだけどなあ。	
D024	悲しい	sad	また一からやり直しかあ。	
D025	悲しい	sad	今日はここまでにしておくね。また明日。	
A001	むっ	angry	もう！なんでそこで爆発するの！	
A002	むっ	angry	ちょっと、ゾンビさん、ついてこないで！	
A003	むっ	angry	また同じところで落ちた！なんで！	
A004	むっ	angry	せっかく作ったのに、壊さないでよ！	
A005	むっ	angry	もう、スケルトンの矢、痛いってば！	
A006	むっ	angry	ぜんぜんうまくいかない！くやしい！	
A007	むっ	angry	待ってって言ってるのに！	
A008	むっ	angry	このドア、どうして置けないの！	
A009	むっ	angry	クモ、壁を登ってこないで！	
A010	むっ	angry	今のはずるいよ！	
A011	むっ	angry	誰？ここに穴を掘ったの！	
A012	むっ	angry	また迷子になっちゃった！もう！	
A013	むっ	angry	せっかく育てた畑を荒らさないで！	
A014	むっ	angry	えー、もう一回やり直し？	
A015	むっ	angry	次こそ絶対に負けないんだから！	
A016	むっ	angry	ちょっと、チェストの中がぐちゃぐちゃじゃない！	
A017	むっ	angry	押さないでってば、落ちちゃう！	
A018	むっ	angry	いじわるなコメントは禁止だよ！	
A019	むっ	angry	どうして夜ってこんなに長いの！	
A020	むっ	angry	むうー、もうちょっとだったのに！	
F001	怖い	scared	こわいこわい、ゾンビに囲まれてる！	
F002	怖い	scared	この洞窟、なんだか変な音がするよ……。	
F003	怖い	scared	後ろに何かいる気がする……。	
F004	怖い	scared	暗くて何も見えない、たいまつ、たいまつ！	
F005	怖い	scared	体力がもうほとんどない、逃げなきゃ！	
F006	怖い	scared	クリーパーがすぐそこにいる……静かに、静かに……。	
F007	怖い	scared	下に溶岩があるの、落ちたらどうしよう。	
F008	怖い	scared	うう、夜の森って本当に怖いね。	
F009	怖い	scared	今、シューって音しなかった？	
F010	怖い	scared	お願い、こっちに来ないで……。	
F011	怖い	scared	高いところは苦手なんだよね……足がすくむ。	
F012	怖い	scared	スケルトンがいっぱい出てきた、どうしよう！	
F013	怖い	scared	早くおうちに帰りたいよ……。	
F014	怖い	scared	水の中、息が続かない！	
F015	怖い	scared	ひっ、今なにか動いた！	
F016	怖い	scared	ドアの前にゾンビがずっといるの……。	
F017	怖い	scared	この先、進んでも大丈夫かな……。	
F018	怖い	scared	やだやだ、クモが天井にいる！	
F019	怖い	scared	今の、ほんとに危なかった……。	
F020	怖い	scared	みんな、ちょっとだけ一緒にいてね。	
G001	実況	neutral	丸石を六十四個集めたら、かまどを作るね。	数字の読み
G002	実況	neutral	オークの原木があと三本足りないんだ。	
G003	実況	neutral	作業台でツルハシを作って、石を掘りに行きます。	
G004	実況	neutral	東に二百メートルくらい行ってみる。	
G005	実況	neutral	鉄インゴットが十二個あるから、バケツも作れるね。	
G006	実況	neutral	残りの体力はハート七個分だよ。	
G007	実況	neutral	満腹度が減ってきたから、焼いた豚肉を食べるね。	
G008	実況	neutral	座標は、エックス百二十、ゼット、マイナス三十五だよ。	
G009	実況	neutral	今は二日目の夕方だね。	
G010	実況	neutral	石炭を八個、木炭を四個持ってるよ。	
G011	実況	neutral	トウヒの板材を十六枚作っておこう。	
G012	実況	neutral	シラカバの森は明るくて好きなんだ。	
G013	実況	neutral	ネザーに行くには、黒曜石が十個いるんだよ。	
G014	実況	neutral	エンダーマンの目を見ちゃだめだよ。	
G015	実況	neutral	レッドストーンって、まだよくわからないんだよね。	
G016	実況	neutral	スライムボールがあれば、粘着ピストンが作れるね。	
G017	実況	neutral	村人さんのおうちのベッドを、ちょっと借りるね。	
G018	実況	neutral	苗木を五本植えたよ。大きく育ってね。	
G019	実況	neutral	地下のY座標マイナス五十八あたりに、ダイヤがあるんだって。	
G020	実況	neutral	松明を等間隔に置いていくね。	
G021	実況	neutral	石の剣を作ってから、ウシを探しに行こう。	
G022	実況	neutral	羊毛が三つ集まったから、白いベッドが作れるよ。	
G023	実況	neutral	チェストを二つ並べると、大きなチェストになるんだ。	
G024	実況	neutral	鉄の防具をそろえたら、洞窟探検に行こう。	
G025	実況	neutral	クワで土を耕して、種をまくね。	
G026	実況	neutral	残り時間はあと三十分くらいかな。	
G027	実況	neutral	ガラス瓶に水を入れて、ポーションを作ってみたいな。	
G028	実況	neutral	エリトラで空を飛ぶのが夢なんだ。	
G029	実況	neutral	北東に大きな湖があったのを覚えてるよ。	
G030	実況	neutral	ゾンビピグリンには手を出さないでおこうね。	
G031	実況	neutral	フレンドリーファイアはなしでお願いします。	
G032	実況	neutral	スポナーを見つけたら、トーチで湧きを止めるんだ。	
G033	実況	neutral	TNTは危ないから、今日は使わないでおくね。	英字の読み
G034	実況	neutral	YouTubeやTwitchで配信してるよ。	英字の読み
G035	実況	neutral	今日のBGMは、マイクラの環境音だけだよ。	英字の読み
G036	実況	neutral	一、二、三、四、五、六、七、八、九、十。	数え方
G037	実況	neutral	一個、二個、三個、四個、五個、六個。	数え方
G038	実況	neutral	一本、二本、三本、四本、五本、六本。	数え方
G039	実況	neutral	一枚、二枚、三枚、四枚、五枚、六枚。	数え方
G040	実況	neutral	一日目、二日目、三日目、四日目、五日目。	数え方
R001	相づち	neutral	うん、うん。なるほどね。	
R002	相づち	neutral	そうなんだ。	
R003	相づち	neutral	たしかに！	
R004	相づち	neutral	えー、ほんと？	
R005	相づち	neutral	あはは、それはおもしろいね。	笑い
R006	相づち	neutral	ふふっ。	笑い
R007	相づち	neutral	あっ。	
R008	相づち	neutral	よいしょ。	
R009	相づち	neutral	よし！	
R010	相づち	neutral	おっけー！	
R011	相づち	neutral	ありがとう！	
R012	相づち	neutral	ごめんね。	
R013	相づち	neutral	うーん、どうしようかな。	
R014	相づち	neutral	えっとね。	
R015	相づち	neutral	あ、そうだ！	
R016	相づち	neutral	いくよー！	
R017	相づち	neutral	ちょっと待ってね。	
R018	相づち	neutral	ふう、危なかった。	
R019	相づち	neutral	へへっ。	笑い
R020	相づち	neutral	わかった、やってみる！	
R021	相づち	neutral	おおー！	
R022	相づち	neutral	あれれ？	
R023	相づち	neutral	いえーい！	
R024	相づち	neutral	おつかれさま！	
R025	相づち	neutral	いらっしゃい！	
R026	相づち	neutral	そっかあ。	
R027	相づち	neutral	なるほど、そういうことか！	
R028	相づち	neutral	えへへ、照れちゃうな。	
R029	相づち	neutral	うわー、すごい！	
R030	相づち	neutral	はーい！	
L001	語り	neutral	こんにちは、AILoveShenです。私はマインクラフトが大好きで、特に知らない場所を歩いて回る冒険が好きなんだ。今日も、みんなとおしゃべりしながら、のんびり遊んでいこうと思ってるよ。	参照音声。自然な配信のテンションで一息に
L002	語り	neutral	昨日はね、夜になってからあわてて穴を掘って、朝まで隠れてたの。外からゾンビのうめき声が聞こえてきて、ちょっと怖かったけど、朝日が見えたときは本当にほっとしたんだ。	参照音声
L003	語り	neutral	おうちを建てるときは、まず場所選びが大事だと思うんだ。平らな土地で、近くに木と水があって、できれば景色がきれいなところ。そういう場所を見つけると、それだけでうれしくなっちゃうよね。	参照音声
L004	語り	neutral	コメントでいろんなことを教えてもらえるのが、配信のいちばん楽しいところかな。知らなかったやり方を試して、うまくいったときは、みんなと一緒に喜べるのがうれしいんだ。これからもよろしくね。	参照音声
